age,sex,sex_2_TEXT,gender,gender_4_TEXT,relation_1,relation_2,relation_3,relation_4,relation_5,relation_6,relation_7,relation_7_TEXT,kids,soibh_1,soibh_2,soibh_3,soiatt_1,soiatt_2,soiatt_3,soides_1,soides_2,soides_3,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,sdo_11,sdo_12,sdo_13,sdo_14,moral_7,moral_8,moral_9,moral_10,moral_11,moral_12,moral_1,moral_2,moral_3,moral_4,moral_5,moral_6,sexorien,sexorien_3_TEXT,ethnic,ethnic_0_TEXT,ethnic_1_TEXT,ethnic_2_TEXT,ethnic_3_TEXT,ethnic_6_TEXT,relafil,relafil_9_TEXT,rel_1,polit_1,withdraw,ID,counter,soiatt_3R,soibh,soibh2,soiatt,soides,soitot,sdo_8R,sdo_9R,sdo_10R,sdo_11R,sdo_12R,sdo_13R,sdo_14R,sdo,moral_2R,moral_4R,moral_8R,moral_10R,moral_wo,moral_men
22,Female,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,1,8,2,6,6,4,3,2,1,2,1,2,1,1,7,7,7,6,7,6,7,7,7,1,6,4,3,1,7,1,7,1,1,0,NA,5,NA,NA,NA,NA,NA,8,NA,4,3,0,5db5e53f8f531c000c2a4160,Male promiscuity first,4,1,1,4.666666667,4.333333333,3.333333333,1,1,1,2,1,2,1,1.357142857,1,1,1,2,1,3
31,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,8,9,9,8,1,2,1,1,1,1,1,1,2,1,2,6,7,7,5,6,7,6,2,7,1,6,1,1,2,7,1,7,1,1,0,NA,0,Swedish,NA,NA,NA,NA,0,NA,2,5,0,5efc8bdbaa189603344de39b,Male promiscuity first,9,6.333333333,8.5,8.666666667,1.333333333,5.444444444,2,1,1,3,2,1,2,1.5,1,1,1,2,1.166666667,1.333333333
29,Female,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,2,4,3,8,7,3,6,2,2,2,2,2,2,2,2,2,4,5,6,4,5,6,5,2,6,2,6,2,2,2,6,2,6,2,2,0,NA,0,NA,NA,NA,NA,NA,1,NA,2,4,0,5f319a87c6fbfb08cd4fa5fa,Male promiscuity first,7,3,3.5,7.333333333,3.333333333,4.555555556,4,3,2,4,3,2,3,2.5,2,2,2,2,2,2
20,Female,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,6,6,3,1,1,1,2,2,2,2,3,1,3,5,5,5,5,5,7,5,4,6,3,5,4,4,3,6,2,5,1,2,0,NA,2,NA,NA,Afghan,NA,NA,5,NA,5,3,0,5f0bb33f510abc4d6c6d1fe8,Male promiscuity first,7,2,2,6.333333333,1,3.111111111,3,3,3,3,3,1,3,2.428571429,2,3,2,3,2.166666667,3.333333333
23,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,1,1,5,1,7,1,1,1,5,1,3,1,1,1,3,6,6,7,6,6,6,6,2,7,4,6,2,2,2,7,4,6,2,2,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,5,0,5e75199eb369c507df8e19ab,Female promiscuity first,3,1.333333333,1,3,1,1.777777778,2,2,1,2,2,2,2,2,1,2,1,2,2.166666667,2.166666667
31,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,2,5,8,7,3,2,2,1,1,1,1,1,1,1,3,6,6,7,6,6,7,6,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,1,NA,4,2,0,5efbbd0a1633a916bf31a948,Female promiscuity first,7,3,3.5,7.333333333,1.666666667,4,2,2,1,2,2,1,2,1.5,1,1,1,1,1,1
29,Female,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,1,9,1,9,8,8,7,1,1,1,3,1,1,1,7,7,7,7,7,7,7,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,3,1,0,5c9c2570a1bfdf00145c54c3,Female promiscuity first,1,1,1,3.666666667,7.666666667,4.111111111,1,1,1,1,1,1,1,1.142857143,1,1,1,1,1,1
20,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,2,3,3,1,7,1,3,2,2,3,3,2,3,4,5,5,6,6,6,6,6,5,1,7,1,7,3,3,1,7,1,5,2,2,0,NA,2,NA,NA,srilankan,NA,NA,4,NA,3,3,0,5c9a56fa350ac700170d45f3,Male promiscuity first,3,2.333333333,2.5,2.333333333,2,2.222222222,3,2,2,2,2,2,3,2.714285714,1,3,1,1,1.666666667,1.666666667
30,Female,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,2,1,1,1,1,9,2,2,1,2,2,3,2,1,1,3,5,5,5,5,6,6,6,6,3,6,2,2,1,5,3,6,2,1,1,0,NA,2,NA,NA,NA,NA,NA,1,NA,4,4,0,5f039b1f24106e5d60e9e039,Female promiscuity first,1,1.333333333,1,1,1.666666667,1.333333333,3,3,3,3,2,2,2,2.285714286,5,6,5,6,4,4.333333333
20,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,1,1,7,2,9,6,2,1,2,1,4,2,3,1,2,6,6,7,6,6,6,7,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,1,NA,2,3,0,5d23a3b27e87460015593b82,Female promiscuity first,1,1.333333333,1,3.333333333,3,2.555555556,2,2,1,2,2,2,1,1.928571429,1,1,1,1,1,1
23,Male,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,2,2,9,6,3,7,6,6,3,2,1,1,1,1,1,7,7,7,6,6,6,6,2,7,2,6,2,2,2,7,1,6,1,1,0,NA,0,NA,NA,NA,NA,NA,1,NA,2,3,0,5c4e54055994ca00011328cd,Female promiscuity first,7,2,2,7.333333333,6.333333333,5.222222222,1,1,1,2,2,2,2,1.5,1,2,1,2,1.333333333,1.833333333
